Position CC / OVC (Picklist Label),Company (Label),Position Country (code),Legal Entity (Label),Legal Entity (Legal Entity Code),Location (Location Name),Business unit (Label),Business Segment (Picklist Label),Division (Label),Employment Classification (Label),Employee Type (Label),Employment Type (Label),Job Classification (Label),Cost Center (Label),Position Position Title (Label),Position Job Function (Label),Work Contract (Picklist Label),CC / OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Regional Parts Sales Manager,PRODUCT QUAL SUPPORT,Regional Parts Sales Manager,Parts Sales & Marketing,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Manufacturing Engineer,PMO-MFG ENGINEERING,Manufacturing Engineer,Manufacturing,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,"PMO-Spindle, Hub & B",Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,PMO-ELEC TRK-ASSEM,Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,PMO-MFG SHIPPING,Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Shop Clerk,Manufacturing,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Engineering - Contractor,Contingent Worker,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,E/E Assembler,PMO-ELEC TRK-SUB ASS,E/E Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,PMO-MFG SHIPPING,Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Shop Clerk,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,PMO-ELEC TRK-ASSEM,Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,E/E Assembler,PMO-ELEC TRK-SUB ASS,E/E Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Shop Clerk,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Shop Clerk,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,"PMO-Spindle, Hub & B",Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,"PMO-Spindle, Hub & B",Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,"PMO-Spindle, Hub & B",Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Shop Clerk,Logistics,Shop Clerk,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Trans Utility Worker,PMO-MFG SHIPPING,Trans Utility Worker,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,PMO-ELEC TRK-ASSEM,Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,PMO-ELEC TRK-ASSEM,Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Mechanical Assembler,PMO-MFG SHIPPING,Mechanical Assembler,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,Human Resources,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,"Director, Human Resources",Haulage HR,Human Resource Director,Human Resources,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Director Global Business Development,MINING INT'L SALES,Director Global Business Development,Sales,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer IV,DESIGN ENGINEERING,Engineer IV,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Product Marketing Manager,MINING INT'L SALES,Product Marketing Manager - EDT,Product Marketing,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Sr Product Quality Engineer-Assem,PMO-NC PROG&TOOL DES,Senior Quality Engineer,Manufacturing,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Sahuarita (AZ Proving Grounds),NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Sr Heavy Equipment Operator,PROVING GROUNDS,Sr Heavy Equipment Operator,Research & Development,Cler & Sten Sal (SD),CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Contractor - Engineer,Contingent Worker,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Quality Assurance Analyst,PMO-QUALITY ASSURANC,Sr Quality Assurance Analyst,Manufacturing,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer V,DESIGN ENGINEERING,Engineer V,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,"Director, EDT Product Support",PRODUCT QUAL SUPPORT,Director EDT Product Support,Mining Service,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Engineering - Contractor,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Manager Haulpak Fed Credit Union,PMO-GENERAL ADMIN,Manager Haulpak Fed Credit Union,,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Contractor - Engineer,Contingent Worker,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Engineering - Contractor,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Materials Management,Contractor - G&D,Contingent Worker,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Contractor - Engineer,Contingent Worker,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Manufacturing Engineer II,PMO-MFG ENGINEERING,Manufacturing Engineer II,Manufacturing,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Product Manager Mining,SE Marketing,Program Manager,Mining Sales & Marketing,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,"Sr. Contract Administrator, Major Components",PMO-COST MANAGEMENT,Sr. Contract Administrator,Manufacturing,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Sr Tech Support Engineer,MINING SUPP OPS,Sr Tech Support Engineer,Mining Service,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Temporary Contractor,Temporary Contractor,Logistics,International. & Domestic Logistics Associate,Contingent Worker,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Logistics Supervisor,Materials Management,Logistics Supervisor,Manufacturing,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Contract Manager,MINING NA SALES,Commercial Project Manager,Mining Sales & Marketing,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,PMO-BLDGS/GRNDS MAIN,Environment Control Solutions,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Principal Engineer II,DESIGN ENGINEERING,Senior Principal Engineer,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Engineering - Contractor,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,ADMIN ENGINEERING,L&T Part Seach,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer V,DESIGN ENGINEERING,Engineer V,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Salaried,Sr Quality Engineer,PMO-NC PROG&TOOL DES,Senior Quality Engineer,,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer V,DESIGN ENGINEERING,Senior Engineer,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer V,DESIGN ENGINEERING,Engineer V,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,PMO-BLDGS/GRNDS MAIN,AESI Engineering Vendor,Contingent Worker,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Contractor - Engineer,Contingent Worker,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer II,DESIGN ENGINEERING,Engineer II,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Engineering - Contractor,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,PMO-GENERAL ADMIN,Assistant Teller,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer II,DESIGN ENGINEERING,Engineer II,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer I,DESIGN ENGINEERING,Engineer I,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer I,DESIGN ENGINEERING,Engineer I,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Engineering - Contractor,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer I,DESIGN ENGINEERING,Engineer I,Engineering,Indirect (IG),CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Sahuarita (AZ Proving Grounds),NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer II,PROVING GROUNDS,Engineer II,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Engineering - Contractor,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Materials Management,Contractor - G&D,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Materials Management,Contractor - G&D,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Materials Management,Contractor - G&D,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,"Manager, Global Business Development",MINING NA SALES,"Manager, Global Business Development",Mining Sales & Marketing,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Materials Management,Contractor - G&D,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,GM Surface China,MINING INT'L SALES,"General Director, Komatsu China",Mining Service,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Materials Management,Contractor - G&D,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Materials Management,Contractor - G&D,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,Materials Management,Contractor - G&D,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,Corporate Finance,Komatsu Mining Technologies,General & Administrative,Regular,Full-Time,Salaried,Plant Controller,Haulage Finance,Operations Controller,Finance,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,LTTS Offshore Contractor,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Contractor - Engineer,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer III,DESIGN ENGINEERING,Engineer III,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer II,DESIGN ENGINEERING,Engineer II,Engineering,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer II,DESIGN ENGINEERING,Engineer II,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,PMO-BLDGS/GRNDS MAIN,Ruyle Project Manager,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,DESIGN ENGINEERING,Contractor - Engineer,Contingent Worker,,CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer IV,DESIGN ENGINEERING,Engineer IV,Engineering,Tech & Spec Sal (SE),CC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Contingent,Fixed Term,Outsourced Vendor,Outsourced Vendor,PMO-IT,PHD Onsite Supervisor,Contingent Worker,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,,OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Home Office,Mining Marketing Division,Komatsu Mining Technologies,Mining,Regular,Full-Time,Salaried,Regional Manager,MINING - USA,Regional Manager,Mining Service,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer IV,DESIGN ENGINEERING,Engineer IV,Engineering,,CC
Overhead Variable Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,PMO Peoria,Komatsu Mining Technologies,Manufacturing,Regular,Full-Time,Hourly,Welder,PMO-ELEC TRK-MACHINE,Welder,Manufacturing,Direct (DL),OVC
Capacity Cost,KAC,USA,Komatsu America Corp.,KAC,Peoria,NA Research & Development,Komatsu Mining Technologies,Development,Regular,Full-Time,Salaried,Engineer IV,DESIGN ENGINEERING,Engineer IV,Engineering,,CC
